week,start_date,end_date,Pmax (MW),Pmin (MW),total_load (kWh),source
01/2025,2024-12-30,2025-01-05,4106.0,2063.0,518319953.0,1736226421_Phuong-thuc-Tuan-03-2025---A2
02/2025,2025-01-06,2025-01-12,4258.0,2198.0,553971876.0,1736840602_Phuong-thuc-Tuan-04-2025---A2
03/2025,2025-01-13,2025-01-19,4230.0,1952.0,546130253.0,1737516369_Phuong-thuc-Tuan-05-2025---A2
04/2025,2025-01-20,2025-01-26,4119.0,2068.0,534271358.0,1736840602_Phuong-thuc-Tuan-04-2025---A2
05/2025,2025-01-27,2025-02-02,2845.0,1312.0,331354127.0,1737516369_Phuong-thuc-Tuan-05-2025---A2
06/2025,2025-02-03,2025-02-09,3759.0,1667.0,475308106.0,1739176569_Phuong-thuc-Tuan-08-2025---A2
07/2025,2025-02-10,2025-02-16,4089.0,2095.0,473309796.0,1739861127_Phuong-thuc-Tuan-09-2025---A2
08/2025,2025-02-17,2025-02-23,4359.0,2270.0,576540108.0,1740451504_Phuong-thuc-Tuan-10-2025---A2
09/2025,2025-02-24,2025-03-02,4529.0,2373.0,598230072.0,1741057651_Phuong-thuc-Tuan-11-2025---A2
10/2025,2025-03-03,2025-03-09,4690.0,2397.0,621570196.0,1741684125_Phuong-thuc-Tuan-12-2025---A2
11/2025,2025-03-10,2025-03-16,4796.0,2553.0,637610082.0,1742285508_Phuong-thuc-Tuan-13-2025---A2
12/2025,2025-03-17,2025-03-23,4708.0,2559.0,617980103.0,1742983354_Phuong-thuc-Tuan-14-2025---A2
13/2025,2025-03-24,2025-03-30,4567.0,2468.0,609796204.0,1743562560_Phuong-thuc-Tuan-15-2025---A2
14/2025,2025-03-31,2025-04-06,4661.0,2626.0,614299786.0,1744690544_Phuong-thuc-Tuan-16-2025---A2
15/2025,2025-04-07,2025-04-13,4801.0,2451.0,632810093.0,1744690449_Phuong-thuc-Tuan-17-2025---A2
16/2025,2025-04-14,2025-04-20,4916.0,2807.0,669916102.0,1745225056_Phuong-thuc-Tuan-18-2025---A2
17/2025,2025-04-21,2025-04-27,4991.0,2853.0,662140034.0,1745894268_Phuong-thuc-Tuan-19-2025---A2
18/2025,2025-04-28,2025-05-04,4832.0,2409.0,573960379.0,1746499853_Phuong-thuc-Tuan-20-2025---A2
19/2025,2025-05-05,2025-05-11,5064.0,2577.0,664140031.0,1747186106_Phuong-thuc-Tuan-21-2025---A2
20/2025,2025-05-12,2025-05-18,4983.0,2589.0,658965046.0,1747705932_Phuong-thuc-Tuan-22-2025---A2
21/2025,2025-05-19,2025-05-25,4798.0,2575.0,629834037.0,1748311797_Phuong-thuc-Tuan-23-2025---A2
22/2025,2025-05-26,2025-06-01,4948.0,2439.0,631717023.0,1748854862_Phuong-thuc-Tuan-24-2025---A2
23/2025,2025-06-02,2025-06-08,4670.0,2474.0,602490018.0,1749520017_Phuong-thuc-Tuan-25-2025---A2
24/2025,2025-06-09,2025-06-15,4507.0,2392.0,583260021.0,1750061023_Phuong-thuc-Tuan-26-2025---A2
25/2025,2025-06-16,2025-06-22,4790.0,2515.0,605980014.0,1750735211_Phuong-thuc-Tuan-27-2025---A2
26/2025,2025-06-23,2025-06-29,4505.0,2340.0,582320021.0,1751422581_Phuong-thuc-Tuan-28-2025---A2
27/2025,2025-06-30,2025-07-06,8173.0,2294.0,1006257034.0,1751947509_Phuong-thuc-Tuan-29-2025---A2
28/2025,2025-07-07,2025-07-13,8346.0,4770.0,1106128102.0,1752633791_Phuong-thuc-Tuan-30-2025---A2
29/2025,2025-07-14,2025-07-20,8333.0,4911.0,1106340036.0,1753253139_Phuong-thuc-Tuan-31-2025---A2
30/2025,2025-07-21,2025-07-27,8505.0,4491.0,1116860102.0,1753692925_Phuong-thuc-Tuan-32-2025---A2
31/2025,2025-07-28,2025-08-03,8415.0,4505.0,1118382076.0,1754362222_Phuong-thuc-Tuan-33-2025---A2
32/2025,2025-08-04,2025-08-10,8789.0,5041.0,1151999024.0,1754990025_Phuong-thuc-Tuan-34-2025---A2-1
33/2025,2025-08-11,2025-08-17,8353.0,5006.0,1101486016.0,1755596065_Phuong-thuc-Tuan-35-2025---A2
34/2025,2025-08-18,2025-08-24,8708.0,4479.0,1087435023.0,1756196126_Phuong-thuc-Tuan-36-2025---A2
35/2025,2025-08-25,2025-08-31,8286.0,4426.0,1059840018.0,1757410066_Phuong-thuc-Tuan-37-2025---A2
36/2025,2025-09-01,2025-09-07,8269.0,3478.0,960367023.0,1757409997_Phuong-thuc-Tuan-38-2025---A2
37/2025,2025-09-08,2025-09-14,8257.0,4628.0,1076906014.0,1758005222_Phuong-thuc-Tuan-39-2025---A2
38/2025,2025-09-15,2025-09-21,8308.0,4582.0,1101612008.0,1758600364_Phuong-thuc-Tuan-40-2025---A2
39/2025,2025-09-22,2025-09-28,8165.0,4587.0,1078688016.0,1759200886_Phuong-thuc-Tuan-41-2025---A2
40/2025,2025-09-29,2025-10-05,7934.0,4427.0,1053684285.0,1759744314_Phuong-thuc-Tuan-42-2025---A2
41/2025,2025-10-06,2025-10-12,8479.0,5987.0,1103181888.0,1760406758_Phuong-thuc-Tuan-43-2025---A2
42/2025,2025-10-13,2025-10-19,8356.0,4543.0,1107628203.0,1760942090_Phuong-thuc-Tuan-44-2025---A2
43/2025,2025-10-20,2025-10-26,8581.0,4819.0,1115284872.0,1761552118_Phuong-thuc-Tuan-45-2025---A2
44/2025,2025-10-27,2025-11-02,7911.0,4561.0,1065091360.0,1762224279_Phuong-thuc-Tuan-46-2025---A2
45/2025,2025-11-03,2025-11-09,8046.0,4468.0,1060585665.0,1762763670_Phuong-thuc-Tuan-47-2025---A2
46/2025,2025-11-10,2025-11-16,8147.0,5895.0,1080364426.0,1763451556_Phuong-thuc-Tuan-48-2025---A2
47/2025,2025-11-17,2025-11-23,8109.0,5895.0,1073401957.0,1764036095_Phuong-thuc-Tuan-49-2025---A2
48/2025,2025-11-24,2025-11-30,8322.0,4543.0,1047890824.0,1764905091_Phuong-thuc-Tuan-50-2025---A2
49/2025,2025-12-01,2025-12-07,8439.0,5972.0,1098093858.0,1765244026_Phuong-thuc-Tuan-51-2025---A2
50/2025,2025-12-08,2025-12-14,8204.0,4331.0,1085319627.0,1766539700_Phuong-thuc-Tuan-52-2025---A2
51/2025,2025-12-15,2025-12-21,8450.0,4579.0,1126357470.0,1766539744_Phuong-thuc-Tuan-53-2025---A2
52/2025,2025-12-22,2025-12-28,8460.0,4843.0,1100953553.0,1767084462_Phuong-thuc-Tuan-01-2026---A2
